county,confirmed_cases,total_tested,negative,deaths,date,lat,lon
Peoria,3,0,0,0,2020-03-18,0.0,0.0
Perry,0,0,0,0,2020-03-18,0.0,0.0
Piatt,0,0,0,0,2020-03-18,0.0,0.0
Pike,0,0,0,0,2020-03-18,0.0,0.0
Pope,0,0,0,0,2020-03-18,0.0,0.0
Pulaski,0,0,0,0,2020-03-18,0.0,0.0
Putnam,0,0,0,0,2020-03-18,0.0,0.0
Randolph,0,0,0,0,2020-03-18,0.0,0.0
Richland,0,0,0,0,2020-03-18,0.0,0.0
Rock Island,0,0,0,0,2020-03-18,0.0,0.0
St. Clair,3,0,0,0,2020-03-18,0.0,0.0
Saline,0,0,0,0,2020-03-18,0.0,0.0
Sangamon,3,0,0,0,2020-03-18,0.0,0.0
Schuyler,0,0,0,0,2020-03-18,0.0,0.0
Scott,0,0,0,0,2020-03-18,0.0,0.0
Shelby,0,0,0,0,2020-03-18,0.0,0.0
Stark,0,0,0,0,2020-03-18,0.0,0.0
Stephenson,0,0,0,0,2020-03-18,0.0,0.0
Tazewell,0,0,0,0,2020-03-18,0.0,0.0
Union,0,0,0,0,2020-03-18,0.0,0.0
Vermilion,0,0,0,0,2020-03-18,0.0,0.0
Wabash,0,0,0,0,2020-03-18,0.0,0.0
Warren,0,0,0,0,2020-03-18,0.0,0.0
Washington,0,0,0,0,2020-03-18,0.0,0.0
Wayne,0,0,0,0,2020-03-18,0.0,0.0
White,0,0,0,0,2020-03-18,0.0,0.0
Whiteside,1,0,0,0,2020-03-18,0.0,0.0
Will,3,0,0,0,2020-03-18,0.0,0.0
Williamson,0,0,0,0,2020-03-18,0.0,0.0
Winnebago,1,0,0,0,2020-03-18,0.0,0.0
Woodford,1,0,0,0,2020-03-18,0.0,0.0
